Country,GDPperCapita,Emissions,Electricity,HDI,LifeExpec,YrSchool,MeanYrSchool,GNIperCapita,GNIminusHDI,Development,Population,YearlyChange,NetChange,Density,LandArea,Migrants,UrbanPop,WorldShare,Pop Density,Continent,Democracy,Continent2
Jordan,"9,478",2.6,"16,000,000,000",0.7234451204,74.405,11.8767423,10.452,8267.805545,10,High,"10,203,134",0.01,"101,440",115,"88,780","10,220",0.91,0.0013,Low,Asia,3.93,Asia
Jamaica,"9,326",2.7,"2,800,000,000",0.725679364,74.368,13.1407323,9.796912678,7931.516349,18,High,"2,961,167",0.0044,"12,888",273,"10,830","-11,332",0.55,0.0004,Medium,Americas,6.96,North America
Ukraine,"9,233",4.5,"143,000,000,000",0.7497459516,71.953,15.07384705,11.34,7994.213212,25,High,"43,733,762",-0.0059,"-259,876",75,"579,320","10,000",0.69,0.0056,Very Low,Europe,5.9,Europe
Philippines,"8,951",1.4,"94,370,000,000",0.7118602069,71.095,12.72245333,9.393091398,9539.697881,-1,High,"109,581,078",0.0135,"1,464,463",368,"298,170","-67,152",0.47,0.0141,Medium,Asia,6.64,Asia
Belize,"8,648",1.2,"400,000,000",0.720169787,74.496,13.12334,9.795835793,7135.969704,17,High,"397,628",0.0186,"7,275",17,"22,810","1,200",0.46,0.0001,Very Low,Americas,#N/A,#N/A
Guyana,"8,640",2.5,"800,000,000",0.6702960965,69.774,11.47262358,8.46676505,7615.416702,-7,Medium,"786,552",0.0048,"3,786",4,"196,850","-6,000",0.27,0.0001,Very Low,Americas,6.15,South America
Morocco,"8,586",1.9,"29,000,000,000",0.6764393349,76.453,13.0675557,5.514,7479.592067,-3,Medium,"36,910,560",0.012,"438,791",83,"446,300","-51,419",0.64,0.0047,Very Low,Africa,5.1,Africa
Uzbekistan,"8,556",3.1,"48,000,000,000",0.7104776183,71.573,12.01214,11.52496134,6461.84249,18,High,"33,469,203",0.0148,"487,487",79,"425,400","-8,863",0.5,0.0043,Very Low,Asia,2.01,Asia
Guatemala,"8,462",1.2,"8,915,000,000",0.6510353372,74.063,10.62148,6.467886134,7377.915813,-7,Medium,"17,915,568",0.019,"334,096",167,"107,160","-9,215",0.52,0.0023,Low,Americas,5.26,North America
El Salvador,"8,331",1.2,"5,700,000,000",0.6666810183,73.096,12.03557,6.942757762,6973.458016,-3,Medium,"6,486,205",0.0051,"32,652",313,"20,720","-40,539",0.73,0.0008,Medium,Americas,6.15,North America
Bolivia,"7,873",2.0,"7,500,000,000",0.7028423532,71.239,14.01306,9.017540839,6849.20187,8,High,"11,673,021",0.0139,"159,921",11,"1,083,300","-9,504",0.69,0.0015,Very Low,Americas,4.84,South America
India,"7,762",1.9,"1,547,000,000,000",0.6469010999,69.416,12.34981,6.452132788,6828.601528,-5,Medium,"1,380,004,385",0.0099,"13,586,631",464,"2,973,190","-532,687",0.35,0.177,Medium,Asia,6.9,Asia
Timor-Leste,"7,658",0.2,"125,300,000",0.6258870574,69.26,12.39822,4.537876912,7526.658774,-14,Medium,"1,318,445",0.0196,"25,326",89,"14,870","-5,385",0.33,0.0002,Very Low,Asia,7.19,Asia
Vietnam,"7,447",2.8,"125,000,000,000",0.6926692965,75.317,12.692323,8.2,6220.265849,10,Medium,"97,338,579",0.0091,"876,473",314,"310,070","-80,000",0.38,0.0125,Medium,Asia,3.08,Asia
Laos,"7,439",0.5,"3,900,000,000",0.6040693219,67.61,11.05725,5.202,6316.520863,-13,Medium,"7,275,560",0.0148,"106,105",32,"230,800","-14,704",0.36,0.0009,Very Low,Asia,2.14,Asia
Moldova,"7,271",2.1,"4,305,000,000",0.7114515862,71.808,11.61391,11.56275474,6833.107979,16,High,"4,033,963",-0.0023,"-9,300",123,"32,850","-1,387",0.43,0.0005,Low,Europe,5.75,Europe
